Name,Type,Popularity,Price,Rating
"Feist Colheita Port, Portugal",Port Blend Red,"6,192nd",211,90
"Niepoort Redoma Branco, Douro, Portugal",Portuguese White Blend,"6,245th",31,91
"Quinta do Noval Touriga Nacional, Douro, Portugal",Touriga Nacional,"6,245th",61,91
"Herdade do Esporao 'Esporao' Reserva Branco, Alentejo, Portugal",Portuguese White Blend,"6,479th",26,89
"Alves de Sousa 'Abandonado' Tinto, Douro, Portugal",Portuguese Red Blend,"6,533rd",171,93
"Silk & Spice Red Blend, Portugal",Portuguese Red Blend,"6,555th",18,88
"Cockburn's Late Bottled Vintage Port, Portugal",Portuguese Red Blend,"6,568th",40,89
"Pocas Junior Vintage Port, Portugal",Port Blend Red,"6,597th",84,91
"Quinta do Vallado Reserva Field Blend, Douro, Portugal",Port Blend Red,"6,669th",72,92
"Quinta do Vale D. Dona Maria CV Curriculum Vitae, Douro, Portugal",Portuguese Red Blend,"6,669th",147,93
"Kopke Vinho Tinto, Douro, Portugal",Portuguese Red Blend,"6,669th",13,85
"Ferreira Late Bottled Vintage Port, Portugal",Portuguese Red Blend,"6,712th",33,90
"Barbeito Verdelho, Madeira, Portugal",Port Blend Red,"6,729th",347,
"Kopke Late Bottled Vintage Port, Portugal",Port Blend Red,"6,729th",37,88
"Ramos Pinto Late Bottled Vintage Port, Portugal",Port Blend Red,"6,759th",39,90
"Quinta do Crasto Superior, Douro, Portugal",Portuguese Red Blend,"6,785th",29,90
"Adega Viuva Gomes Tinto, Colares, Portugal",Ramisco,"6,797th",165,89
"W & J Graham's 20 Year Old Tawny Port, Portugal",Port Blend Red,"6,821st",92,92
"Aluado Alicante Bouschet, Lisboa, Portugal",Alicante Bouschet,"6,821st",18,87
"Blandy's Vintage Sercial, Madeira, Portugal",Sercial,"6,838th",448,93
"Croft Late Bottled Vintage Port, Portugal",Port Blend Red,"6,838th",29,87
"Ramos Pinto Duas Quintas Reserva, Douro, Portugal",Portuguese Red Blend,"6,864th",64,90
"Dow's Vale do Bomfim, Douro, Portugal",Portuguese Red Blend,"6,884th",20,87
"W & J Graham's 'Ne Oublie' Tawny Port, Portugal",Port Blend Red,"6,967th",11198,100
"Blandy's Vintage Malmsey, Madeira, Portugal",Malvasia,"6,986th",433,92
"Alves de Sousa Quinta da Gaivosa Tinto, Douro, Portugal",Portuguese Red Blend,"7,195th",68,91
"W & J Graham's 10 Year Old Tawny Port, Portugal",Port Blend Red,"7,211th",51,90
"Quinta do Crasto Roquette & Cazes, Douro, Portugal",Portuguese Red Blend,"7,261st",37,90
"Ramos Pinto Duas Quintas, Douro, Portugal",Portuguese Red Blend,"7,261st",26,89
"Bacalhoa - Caves Alianca 'Quinta da Bacalhoa' Cabernet Sauvignon, Vinho Regional Setubal Peninsula, Portugal",Portuguese Red Blend,"7,326th",48,90
"Quinta de la Rosa Vintage Port, Portugal",Port Blend Red,"7,498th",90,92
"Kopke Colheita White Port, Portugal",Port Blend White,"7,518th",73,92
"Quinta do Infantado Vintage Port, Portugal",Port Blend Red,"7,904th",101,89
"Real Companhia Velha 'Evel' Tinto, Douro, Portugal",Portuguese Red Blend,"7,988th",13,86
"Real Companhia Velha Quinta das Carvalhas 'Carvalhas' Tinto, Douro, Portugal",Portuguese Red Blend,"8,003rd",35,91
"Casa Ferreirinha 'Papa Figos' Tinto, Douro, Portugal",Portuguese Red Blend,"8,033rd",20,87
"Quinta do Passadouro Vintage Port, Portugal",Tinta Barroca - Tinta Roriz - Touriga,"8,033rd",105,91
"Blandy's Vintage Madeira Terrantez, Portugal",Port Blend Red,"8,131st",472,92
"Niepoort Redoma Tinto, Douro, Portugal",Portuguese Red Blend,"4,412th",51,91
"Pocas Junior Colheita Port, Portugal",Port Blend Red,"4,515th",83,91
"Barbeito Frasqueira Verdelho, Madeira, Portugal",Verdelho,"4,603rd",343,93
"Niepoort Batuta Tinto, Douro, Portugal",Portuguese Red Blend,"4,603rd",117,91
"Casa Ferreirinha Reserva Especial, Douro, Portugal",Portuguese Red Blend,"4,603rd",457,92
"Quinta do Vale Meao 'Meandro' Tinto, Douro, Portugal",Portuguese Red Blend,"4,774th",42,90
"D'Oliveiras Sercial Vintage Madeira, Portugal",Sercial,"4,782nd",553,91
"Feist Vintage Port, Portugal",Port Blend Red,"4,782nd",204,85
"Rozes Porto Vintage Port, Portugal",Port Blend Red,"4,869th",81,92
"W & J Graham's 'The Stone Terraces' Vintage Port, Portugal",Port Blend Red,"4,922nd",468,96
"Warre's Quinta da Cavadinha Vintage Port, Portugal",Port Blend Red,"5,101st",73,92
"Barbeito Frasqueira Boal, Madeira, Portugal",Bual (Malvasia Fina),"5,160th",419,92
"Taylor Fladgate 20 Year Old Tawny Port, Portugal",Port Blend Red,"5,271st",79,92
"Dow's Quinta da Senhora da Ribeira Single Quinta Vintage Port, Portugal",Port Blend Red,"5,280th",95,92
"Quinta do Noval Tinto, Douro, Portugal",Portuguese Red Blend,"5,292nd",90,93
"Niepoort Redoma Reserva Branco, Douro, Portugal",Portuguese White Blend,"5,350th",66,92
"Quinta do Crasto 'Crasto', Douro, Portugal",Portuguese Red Blend,"5,380th",22,89
"P+S Prats & Symington Post Scriptum de Chryseia, Douro, Portugal",Portuguese Red Blend,"5,391st",37,90
"Barao de Vilar Colheita Port, Portugal",Port Blend Red,"5,439th",140,89
"Dow's Crusted Port, Portugal",Port Blend Red,"5,497th",46,88
"Calem Colheita Port, Portugal",Port Blend Red,"5,509th",51,91
"Quinta do Crasto Vintage Port, Portugal",Port Blend Red,"5,521st",73,92
"Quinta do Crasto Vinha da Ponte, Douro, Portugal",Port Blend Red,"5,521st",387,94
"Croft Quinta da Roeda Vintage Port, Portugal",Portuguese Red Blend,"5,540th",66,91
"Herdade do Mouchao Tinto, Alentejo, Portugal",Port Blend Red,"5,581st",79,87
"Quinta do Vallado Tinto, Douro, Portugal",Portuguese Red Blend,"8,153rd",20,89
"Niepoort Bioma Vinha Velha Vintage Port, Portugal",Port Blend Red,"8,291st",149,94
"Quinta do Vale D. Dona Maria 'Vinha da Francisca', Douro, Portugal",Portuguese Red Blend,"8,346th",117,93
"Blandy's Vintage Verdelho, Madeira, Portugal",Verdelho,"8,442nd",444,92
"Cossart Gordon Bual Vintage, Madeira, Portugal",Bual (Malvasia Fina),"8,467th",472,93
"Herdade do Esporao Private Selection, Alentejo, Portugal",Alicante Bouschet - Aragonez,"8,537th",105,91
"Taylor Fladgate 40 Year Old Tawny Port, Portugal",Port Blend Red,"8,588th",325,94
"Niepoort Tiara Branco, Douro, Portugal",Portuguese White Blend,"8,632nd",55,90
"Quinta do Crasto Touriga Nacional, Douro, Portugal",Touriga Nacional,"8,632nd",97,92
"Quinta do Vesuvio Tinto, Douro, Portugal",Portuguese Red Blend,"8,660th",105,93
"W.J Hart Vintage Port, Portugal",Port Blend Red,"8,660th",206,
"Quinta do Portal Vintage Port, Portugal",Port Blend Red,"8,763rd",90,90
"Joao Portugal Ramos Marques de Borba, Alentejo, Portugal",Portuguese Red Blend,"8,798th",15,88
"Anselmo Mendes 'Parcela Unica' Alvarinho, Vinho Verde, Portugal",Albarino (Alvarinho),"8,996th",55,93
"Lancers Rose, Portugal",Portuguese Red Blend,"9,029th",11,81
"Casa Ferreirinha Callabriga, Douro, Portugal",Portuguese Red Blend,"9,119th",37,89
"Herdade da Maroteira Cem Reis Reserva Syrah, Vinho Regional Alentejano, Portugal",Syrah,"9,195th",106,90
"Alexandre de Almeida Hotels Bucaco Branco Reservado, Portugal",Portuguese White Blend,"9,195th",112,92
"Barao de Vilar Maynard's Vintage Port, Portugal",Port Blend Red,"9,195th",88,92
"Quarles Harris Vintage Port, Portugal",Port Blend Red,"9,243rd",123,92
"Ramos Pinto Quinta de Ervamoira Single Quinta Vintage Port, Portugal",Port Blend Red,"9,299th",123,90
"Quinta de Roriz Vintage Port, Portugal",Port Blend Red,"9,326th",99,92
"J H Andresen Colheita Port, Portugal",Port Blend Red,"9,382nd",138,91
"Real Companhia Velha Quinta das Carvalhas Vintage Port, Portugal",Port Blend Red,"9,525th",114,91
"Taylor Fladgate Golden Age 50 Year Very Old Tawny Port, Portugal",Port Blend Red,"9,561st",422,91
"Dow's Colheita Port, Portugal",Port Blend Red,"5,628th",92,90
"Niepoort Garrafeira Port, Portugal",Port Blend Red,"5,628th",931,96
"Quinta do Vale D. Dona Maria Tinto, Douro, Portugal",Portuguese Red Blend,"5,688th",86,92
"Cartuxa Evora Reserva Tinto, Alentejo, Portugal",Alicante Bouschet - Aragonez,"5,765th",79,90
"Martinez Vintage Port, Portugal",Port Blend Red,"5,820th",255,89
"Anselmo Mendes Contacto Alvarinho, Vinho Verde, Portugal",Albarino (Alvarinho),"5,883rd",26,90
"Barbeito Boal, Madeira, Portugal",Bual (Malvasia Fina),"6,000th",740,93
"Taylor Fladgate 10 Year Old Tawny Port, Portugal",Port Blend Red,"6,077th",46,90
"Quinta da Romaneira Vintage Port, Portugal",Port Blend Red,"6,101st",90,92
"Wiese & Krohn Vintage Port, Portugal",Port Blend Red,"6,101st",185,90
"Fonseca Late Bottled Vintage Port, Portugal",Port Blend Red,"6,141st",35,90
"Quinta do Noval Unfiltered Late Bottled Vintage Port, Portugal",Port Blend Red,"6,182nd",39,90
"Feist Colheita Port, Portugal",Port Blend Red,"6,192nd",211,90
"Niepoort Redoma Branco, Douro, Portugal",Portuguese White Blend,"6,245th",31,91
"Quinta do Noval Touriga Nacional, Douro, Portugal",Touriga Nacional,"6,245th",61,91
"Herdade do Esporao 'Esporao' Reserva Branco, Alentejo, Portugal",Portuguese White Blend,"6,479th",26,89
"Alves de Sousa 'Abandonado' Tinto, Douro, Portugal",Portuguese Red Blend,"6,533rd",171,93
"Silk & Spice Red Blend, Portugal",Portuguese Red Blend,"6,555th",18,88
"Cockburn's Late Bottled Vintage Port, Portugal",Portuguese Red Blend,"6,568th",40,89
"Pocas Junior Vintage Port, Portugal",Port Blend Red,"6,597th",84,91
"Quinta do Vallado Reserva Field Blend, Douro, Portugal",Port Blend Red,"6,669th",72,92
"Quinta do Vale D. Dona Maria CV Curriculum Vitae, Douro, Portugal",Portuguese Red Blend,"6,669th",147,93
"Kopke Vinho Tinto, Douro, Portugal",Portuguese Red Blend,"6,669th",13,85
"Ferreira Late Bottled Vintage Port, Portugal",Portuguese Red Blend,"6,712th",33,90
"Barbeito Verdelho, Madeira, Portugal",Port Blend Red,"6,729th",347,
"Kopke Late Bottled Vintage Port, Portugal",Port Blend Red,"6,729th",37,88
"Ramos Pinto Late Bottled Vintage Port, Portugal",Port Blend Red,"6,759th",39,90
"Quinta do Crasto Superior, Douro, Portugal",Portuguese Red Blend,"6,785th",29,90
"Adega Viuva Gomes Tinto, Colares, Portugal",Ramisco,"6,797th",165,89
"W & J Graham's 20 Year Old Tawny Port, Portugal",Port Blend Red,"6,821st",92,92
"Aluado Alicante Bouschet, Lisboa, Portugal",Alicante Bouschet,"6,821st",18,87
"Blandy's Vintage Sercial, Madeira, Portugal",Sercial,"6,838th",448,93
"Croft Late Bottled Vintage Port, Portugal",Port Blend Red,"6,838th",29,87
"Ramos Pinto Duas Quintas Reserva, Douro, Portugal",Portuguese Red Blend,"6,864th",64,90
"Dow's Vale do Bomfim, Douro, Portugal",Portuguese Red Blend,"6,884th",20,87
"W & J Graham's 'Ne Oublie' Tawny Port, Portugal",Port Blend Red,"6,967th",11198,100
"Blandy's Vintage Malmsey, Madeira, Portugal",Malvasia,"6,986th",433,92
"Alves de Sousa Quinta da Gaivosa Tinto, Douro, Portugal",Portuguese Red Blend,"7,195th",68,91
"W & J Graham's 10 Year Old Tawny Port, Portugal",Port Blend Red,"7,211th",51,90
"Quinta do Crasto Roquette & Cazes, Douro, Portugal",Portuguese Red Blend,"7,261st",37,90
"Ramos Pinto Duas Quintas, Douro, Portugal",Portuguese Red Blend,"7,261st",26,89
"Bacalhoa - Caves Alianca 'Quinta da Bacalhoa' Cabernet Sauvignon, Vinho Regional Setubal Peninsula, Portugal",Portuguese Red Blend,"7,326th",48,90
"Quinta de la Rosa Vintage Port, Portugal",Port Blend Red,"7,498th",90,92
"Kopke Colheita White Port, Portugal",Port Blend White,"7,518th",73,92
"Quinta do Infantado Vintage Port, Portugal",Port Blend Red,"7,904th",101,89
"Real Companhia Velha 'Evel' Tinto, Douro, Portugal",Portuguese Red Blend,"7,988th",13,86
"Real Companhia Velha Quinta das Carvalhas 'Carvalhas' Tinto, Douro, Portugal",Portuguese Red Blend,"8,003rd",35,91
"Casa Ferreirinha 'Papa Figos' Tinto, Douro, Portugal",Portuguese Red Blend,"8,033rd",20,87
"Quinta do Passadouro Vintage Port, Portugal",Tinta Barroca - Tinta Roriz - Touriga,"8,033rd",105,91
"Blandy's Vintage Madeira Terrantez, Portugal",Port Blend Red,"8,131st",472,92
"Niepoort Redoma Tinto, Douro, Portugal",Portuguese Red Blend,"4,412th",51,91
"Pocas Junior Colheita Port, Portugal",Port Blend Red,"4,515th",83,91
"Barbeito Frasqueira Verdelho, Madeira, Portugal",Verdelho,"4,603rd",343,93
"Niepoort Batuta Tinto, Douro, Portugal",Portuguese Red Blend,"4,603rd",117,91
"Casa Ferreirinha Reserva Especial, Douro, Portugal",Portuguese Red Blend,"4,603rd",457,92
"Quinta do Vale Meao 'Meandro' Tinto, Douro, Portugal",Portuguese Red Blend,"4,774th",42,90
"D'Oliveiras Sercial Vintage Madeira, Portugal",Sercial,"4,782nd",553,91
"Feist Vintage Port, Portugal",Port Blend Red,"4,782nd",204,85
"Rozes Porto Vintage Port, Portugal",Port Blend Red,"4,869th",81,92
"W & J Graham's 'The Stone Terraces' Vintage Port, Portugal",Port Blend Red,"4,922nd",468,96
"Warre's Quinta da Cavadinha Vintage Port, Portugal",Port Blend Red,"5,101st",73,92
"Barbeito Frasqueira Boal, Madeira, Portugal",Bual (Malvasia Fina),"5,160th",419,92
"Taylor Fladgate 20 Year Old Tawny Port, Portugal",Port Blend Red,"5,271st",79,92
"Dow's Quinta da Senhora da Ribeira Single Quinta Vintage Port, Portugal",Port Blend Red,"5,280th",95,92
"Quinta do Noval Tinto, Douro, Portugal",Portuguese Red Blend,"5,292nd",90,93
"Niepoort Redoma Reserva Branco, Douro, Portugal",Portuguese White Blend,"5,350th",66,92
"Quinta do Crasto 'Crasto', Douro, Portugal",Portuguese Red Blend,"5,380th",22,89
"P+S Prats & Symington Post Scriptum de Chryseia, Douro, Portugal",Portuguese Red Blend,"5,391st",37,90
"Barao de Vilar Colheita Port, Portugal",Port Blend Red,"5,439th",140,89
"Dow's Crusted Port, Portugal",Port Blend Red,"5,497th",46,88
"Calem Colheita Port, Portugal",Port Blend Red,"5,509th",51,91
"Quinta do Crasto Vintage Port, Portugal",Port Blend Red,"5,521st",73,92
"Quinta do Crasto Vinha da Ponte, Douro, Portugal",Port Blend Red,"5,521st",387,94
"Croft Quinta da Roeda Vintage Port, Portugal",Portuguese Red Blend,"5,540th",66,91
"Herdade do Mouchao Tinto, Alentejo, Portugal",Port Blend Red,"5,581st",79,87
"Quinta do Vallado Tinto, Douro, Portugal",Portuguese Red Blend,"8,153rd",20,89
"Niepoort Bioma Vinha Velha Vintage Port, Portugal",Port Blend Red,"8,291st",149,94
"Quinta do Vale D. Dona Maria 'Vinha da Francisca', Douro, Portugal",Portuguese Red Blend,"8,346th",117,93
"Blandy's Vintage Verdelho, Madeira, Portugal",Verdelho,"8,442nd",444,92
"Cossart Gordon Bual Vintage, Madeira, Portugal",Bual (Malvasia Fina),"8,467th",472,93
"Herdade do Esporao Private Selection, Alentejo, Portugal",Alicante Bouschet - Aragonez,"8,537th",105,91
"Taylor Fladgate 40 Year Old Tawny Port, Portugal",Port Blend Red,"8,588th",325,94
"Niepoort Tiara Branco, Douro, Portugal",Portuguese White Blend,"8,632nd",55,90
"Quinta do Crasto Touriga Nacional, Douro, Portugal",Touriga Nacional,"8,632nd",97,92
"Quinta do Vesuvio Tinto, Douro, Portugal",Portuguese Red Blend,"8,660th",105,93
"W.J Hart Vintage Port, Portugal",Port Blend Red,"8,660th",206,
"Quinta do Portal Vintage Port, Portugal",Port Blend Red,"8,763rd",90,90
"Joao Portugal Ramos Marques de Borba, Alentejo, Portugal",Portuguese Red Blend,"8,798th",15,88
"Anselmo Mendes 'Parcela Unica' Alvarinho, Vinho Verde, Portugal",Albarino (Alvarinho),"8,996th",55,93
"Lancers Rose, Portugal",Portuguese Red Blend,"9,029th",11,81
"Casa Ferreirinha Callabriga, Douro, Portugal",Portuguese Red Blend,"9,119th",37,89
"Herdade da Maroteira Cem Reis Reserva Syrah, Vinho Regional Alentejano, Portugal",Syrah,"9,195th",106,90
"Alexandre de Almeida Hotels Bucaco Branco Reservado, Portugal",Portuguese White Blend,"9,195th",112,92
"Barao de Vilar Maynard's Vintage Port, Portugal",Port Blend Red,"9,195th",88,92
"Quarles Harris Vintage Port, Portugal",Port Blend Red,"9,243rd",123,92
"Ramos Pinto Quinta de Ervamoira Single Quinta Vintage Port, Portugal",Port Blend Red,"9,299th",123,90
"Quinta de Roriz Vintage Port, Portugal",Port Blend Red,"9,326th",99,92
"J H Andresen Colheita Port, Portugal",Port Blend Red,"9,382nd",138,91
"Real Companhia Velha Quinta das Carvalhas Vintage Port, Portugal",Port Blend Red,"9,525th",114,91
"Taylor Fladgate Golden Age 50 Year Very Old Tawny Port, Portugal",Port Blend Red,"9,561st",422,91
"Taylor Fladgate Quinta de Terra Feita Vintage Port, Portugal",Port Blend Red,"9,597th",95,90
"Adega Cooperativa de Borba 'Rotulo Cortica' Reserva, Alentejo, Portugal",Alicante Bouschet - Aragonez - Trincadeira,"9,633rd",29,88
"Sandeman Vau Vintage Porto, Portugal",Port Blend Red,"9,633rd",83,89
"Wine & Soul Pintas Character Tinto, Douro, Portugal",Portuguese Red Blend,"9,690th",50,91
"Taylor Fladgate Fine Tawny Port, Portugal",Port Blend Red,"9,746th",24,87
"Luis Pato 'Vinha Pan' Tinto, Beiras, Portugal",Alicante Bouschet,"9,781st",51,91
"Quinta do Vesuvio 'Capela' Vintage Port, Portugal",Port Blend Red,"9,826th",286,95
"Wine & Soul 'Quinta da Manoella' Vinhas Velhas, Douro, Portugal",Portuguese Red Blend,"9,863rd",141,93
"D'Oliveiras Terrantez Vintage Madeira, Portugal",Terrantez,"10,003rd",600,92
"Niepoort Fabulosos 'Fabelhaft', Douro, Portugal",Portuguese Red Blend,"10,123rd",18,87
"W & J Graham's Crusted Port, Portugal",Port Blend Red,"10,165th",44,88
"Quinta do Vale Meao Vintage Port, Portugal",Port Blend Red,"10,165th",121,93
"Sogrape Vinhos 'Legado' Fernando Guedes, Douro, Portugal",Port Blend Red,"10,259th",529,93
"Quinta do Noval Reserva Tinto, Douro, Portugal",Portuguese Red Blend,"10,319th",75,92
"Herdade do Esporao Monte Velho, Vinho Regional Alentejano, Portugal",Portuguese Red Blend,"10,353rd",15,87
"W & J Graham's 30 Year Old Tawny Port, Portugal",Portuguese Red Blend,"10,455th",195,92
"C. da Silva Presidential Vintage Port, Portugal",Syrah,"10,567th",116,86
"Niepoort Vertente Tinto, Douro, Portugal",Port Blend Red,"10,567th",29,89
